,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
6390,2012,1108,611367,611367,Docklands,In A Rush Docklands,"Shop 13, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.9457011,-37.822059,"-37.82205948805, 144.9457011114799",3008,https://www.google.com/search?q=In+A+Rush+Docklands+Melbourne,Cafe
6391,2012,1108,611367,611367,Docklands,Degani @ Docklands,"Shop 3, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.9457011,-37.822059,"-37.82205948805, 144.9457011114799",3008,https://www.google.com/search?q=Degani+@+Docklands+Melbourne,Cafe
6393,2012,1108,611367,611367,Docklands,Elements Cafe,"Shop 18, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.9457011,-37.822059,"-37.82205948805, 144.9457011114799",3008,https://www.google.com/search?q=Elements+Cafe+Melbourne,Cafe
6394,2012,1108,611367,611367,Docklands,Ichi Maki,"Shop 10, 833 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.9457011,-37.822059,"-37.82205948805, 144.9457011114799",3008,https://www.google.com/search?q=Ichi+Maki+Melbourne,Japanese
6398,2012,1108,613252,613252,Docklands,Feeling Fruity Docklands,"Shop 7, Ground , 800 Collins Street DOCKLANDS 3008",Takeaway Food Services,144.9458326,-37.821044,"-37.82104415525, 144.94583261969217",3008,https://www.google.com/search?q=Feeling+Fruity+Docklands+Melbourne,Cafe
6401,2012,1108,613252,613252,Docklands,The Beanstalk Cafe,"Shop 3, Ground , 800 Collins Street DOCKLANDS 3008",Cafes and Restaurants,144.9458326,-37.821044,"-37.82104415525, 144.94583261969217",3008,https://www.google.com/search?q=The+Beanstalk+Cafe+Melbourne,Cafe
6407,2012,1109,573327,573327,Docklands,Dock 31,70 Caravel Lane DOCKLANDS 3008,Cafes and Restaurants,144.9406746,-37.814922,"-37.8149216285, 144.9406746385268",3008,https://www.google.com/search?q=Dock+31+Melbourne,Australian
6410,2012,1109,584059,584059,Docklands,Outback Jacks Bar and Grill,12-16 Newquay Promenade DOCKLANDS 3008,Cafes and Restaurants,144.943694,-37.813805,"-37.81380530413996, 144.9436935255",3008,https://www.google.com/search?q=Outback+Jacks+Bar+and+Grill+Melbourne,Steakhouse
6412,2012,1109,601815,601815,Docklands,Embassy Lounge,403 Docklands Drive DOCKLANDS 3008,Cafes and Restaurants,144.9402116,-37.814288,"-37.8142880995, 144.9402116382148",3008,https://www.google.com/search?q=Embassy+Lounge+Melbourne,Cafe
6413,2012,1109,601815,601815,Docklands,Replay cafe,5 Docklands Drive DOCKLANDS 3008,Cafes and Restaurants,144.9402116,-37.814288,"-37.8142880995, 144.9402116382148",3008,https://www.google.com/search?q=Replay+cafe+Melbourne,Cafe
6414,2012,1110,620308,593737,Docklands,Gloria Jean's Coffees Harbour Town,"Ground , 3 Docklands Drive DOCKLANDS 3008",Cafes and Restaurants,144.937851,-37.81338,"-37.81337963339341, 144.9378512188",3008,https://www.google.com/search?q=Gloria+Jean's+Coffees+Harbour+Town+Melbourne,Cafe
6417,2012,1110,620308,593737,Docklands,Fancy Fillings Waterfront,"Ground , 5 Docklands Drive DOCKLANDS 3008",Cafes and Restaurants,144.937851,-37.81338,"-37.81337963339341, 144.9378512188",3008,https://www.google.com/search?q=Fancy+Fillings+Waterfront+Melbourne,Australian
6442,2013,1,611394,611394,Melbourne (CBD),Tokyo Maki One,547 Flinders Street MELBOURNE 3000,Cafes and Restaurants,144.9565138,-37.820979,"-37.8209790437, 144.9565137522286",3000,https://www.google.com/search?q=Tokyo+Maki+One+Melbourne,Japanese
6444,2013,4,103972,103972,Melbourne (CBD),T'Roy Browns,"Unit 1, 363-369 Flinders Street MELBOURNE 3000",Cafes and Restaurants,144.9622978,-37.819511,"-37.81951074765, 144.9622978015492",3000,https://www.google.com/search?q=T'Roy+Browns+Melbourne,Cafe
6446,2013,5,101345,101345,Melbourne (CBD),Cup of Truth,"Kiosk 12, 0-0 Flinders Street MELBOURNE 3000",Takeaway Food Services,0,0,0,3000,https://www.google.com/search?q=Cup+of+Truth+Melbourne,Cafe
