,Census year,Block ID,Property ID,Base property ID,Suburb,Trading name,Business address,Industry (ANZSIC4) description,Longitude,Latitude,location,Postcode,Google Search Link,Cuisine
2964,2022,87,103610,103610,Melbourne (CBD),Kko-Kko,Ground 295 Exhibition Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96882737333382,-37.80893103,"-37.80893102580001, 144.96882737333382",3000,https://www.google.com/search?q=Kko-Kko+Melbourne,Unknown
2965,2022,87,103614,103614,Melbourne (CBD),Grandma's Dumplings,311 Exhibition Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9687047572665,-37.80869912,"-37.8086991183, 144.9687047572665",3000,https://www.google.com/search?q=Grandma's+Dumplings+Melbourne,Chinese
2967,2022,87,105439,105439,Melbourne (CBD),Global Kitchen Caffe,"Shop 5, 321 Exhibition Street MELBOURNE VIC 3000",Cafes and Restaurants,144.96845845080023,-37.80863588,"-37.80863587815, 144.96845845080023",3000,https://www.google.com/search?q=Global+Kitchen+Caffe+Melbourne,Australian
2968,2022,87,105439,105439,Melbourne (CBD),Ristretto Coffee,"Shop 1, 321 Exhibition Street MELBOURNE VIC 3000",Cafes and Restaurants,144.96845845080023,-37.80863588,"-37.80863587815, 144.96845845080023",3000,https://www.google.com/search?q=Ristretto+Coffee+Melbourne,Cafe
2969,2022,87,106056,106056,Melbourne (CBD),New Kum Den,108 Little Lonsdale Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9684463,-37.80913991,"-37.809139913833405, 144.9684463109",3000,https://www.google.com/search?q=New+Kum+Den+Melbourne,Chinese
2971,2022,91,105325,105325,West Melbourne (Residential),Rice Too Asian Cuisine,373 King Street WEST MELBOURNE VIC 3003,Takeaway Food Services,144.9532516,-37.81166291,"-37.811662914827096, 144.95325158415",3003,https://www.google.com/search?q=Rice+Too+Asian+Cuisine+Melbourne,Asian
2973,2022,93,105477,105477,Melbourne (CBD),Charles LaTrobe Coffee Co,Part Ground 380-390 La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9580507,-37.8109126,"-37.81091259571215, 144.95805069635",3000,https://www.google.com/search?q=Charles+LaTrobe+Coffee+Co+Melbourne,Cafe
2975,2022,93,578981,565462,Melbourne (CBD),Operator 25,"Unit 3, Ground 25 Wills Street MELBOURNE VIC 3000",Cafes and Restaurants,144.9572292191701,-37.81067687,"-37.81067687015, 144.9572292191701",3000,https://www.google.com/search?q=Operator+25+Melbourne,Australian
2977,2022,94,103216,103216,Melbourne (CBD),Lanzhou Beef Noodle Bar,379 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9608497,-37.81001419,"-37.81001419111698, 144.96084965185",3000,https://www.google.com/search?q=Lanzhou+Beef+Noodle+Bar+Melbourne,Chinese
2978,2022,94,105480,105480,Melbourne (CBD),Da Tie Niu,Ground 360 La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9591368,-37.81072052,"-37.81072051567875, 144.9591367792",3000,https://www.google.com/search?q=Da+Tie+Niu+Melbourne,Chinese
2979,2022,95,100153,100153,Melbourne (CBD),Darac,Ground 53 A'Beckett Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9620739,-37.80909563,"-37.809095631678616, 144.9620739486",3000,https://www.google.com/search?q=Darac+Melbourne,Korean
2980,2022,95,103305,103305,Melbourne (CBD),Damiao Panda Fan,Part Level 1 388-396 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96142241447978,-37.80952989,"-37.809529892049994, 144.96142241447978",3000,https://www.google.com/search?q=Damiao+Panda+Fan+Melbourne,Chinese
2982,2022,95,103306,103306,Melbourne (CBD),Yingzi Fried Chuan,Ground 71 Little Latrobe St MELBOURNE VIC 3000,Cafes and Restaurants,144.96145107881267,-37.8097713,"-37.8097713042, 144.96145107881267",3000,https://www.google.com/search?q=Yingzi+Fried+Chuan+Melbourne,Chinese
2983,2022,95,103308,103308,Melbourne (CBD),Esme Patisserie,270 La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96174730461894,-37.80995265,"-37.8099526522, 144.96174730461894",3000,https://www.google.com/search?q=Esme+Patisserie+Melbourne,Cafe
2984,2022,95,103308,103308,Melbourne (CBD),Hungry Jack's,Part Ground 368 Elizabeth Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96174730461894,-37.80995265,"-37.8099526522, 144.96174730461894",3000,https://www.google.com/search?q=Hungry+Jack's+Melbourne,Fast Food
2985,2022,95,105983,105983,Melbourne (CBD),Nox Coffee Bar,62-64 Little La Trobe Street MELBOURNE VIC 3000,Cafes and Restaurants,144.9618907,-37.80940166,"-37.809401660062726, 144.96189070185",3000,https://www.google.com/search?q=Nox+Coffee+Bar+Melbourne,Cafe
2987,2022,95,500323,500323,Melbourne (CBD),No 1 Spicy Pot,"Shop 1, 31 A'Beckett Street MELBOURNE VIC 3000",Cafes and Restaurants,144.96261025448487,-37.80894116,"-37.80894116045, 144.96261025448487",3000,https://www.google.com/search?q=No+1+Spicy+Pot+Melbourne,Chinese
2988,2022,96,606638,105490,Melbourne (CBD),Pearson And Murphy's Cafe,"Part Building 1, Ground 124 La Trobe Street MELBOURNE VIC 3000",Cafes and Restaurants,144.96458869234556,-37.80821792,"-37.80821791505, 144.96458869234556",3000,https://www.google.com/search?q=Pearson+And+Murphy's+Cafe+Melbourne,Cafe
2989,2022,96,606648,105490,Melbourne (CBD),The Drum,Part Level 5 Building 10 392 Swanston Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96458869234556,-37.80821792,"-37.80821791505, 144.96458869234556",3000,https://www.google.com/search?q=The+Drum+Melbourne,Australian
2990,2022,97,109677,109677,Melbourne (CBD),Han Guuk Guan Korean Restaurant,13A Victoria Street MELBOURNE VIC 3000,Cafes and Restaurants,144.96798075502056,-37.80758598,"-37.807585980750005, 144.96798075502056",3000,https://www.google.com/search?q=Han+Guuk+Guan+Korean+Restaurant+Melbourne,Korean
2991,2022,103,104086,104086,Melbourne (CBD),Patsys Melbourne,211-213 Franklin Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",144.9578403,-37.80968259,"-37.80968258858312, 144.9578403302",3000,https://www.google.com/search?q=Patsys+Melbourne+Melbourne,Australian
2992,2022,103,110139,110139,Melbourne (CBD),Radison on Flagstaff Gardens Melbourne,Radisson on Flagstaff Gardens 380 William Street MELBOURNE VIC 3000,Accommodation,144.95612013340002,-37.81032268,"-37.81032267625399, 144.95612013340002",3000,https://www.google.com/search?q=Radison+on+Flagstaff+Gardens+Melbourne+Melbourne,Hotel
2995,2022,104,103219,103219,Melbourne (CBD),Workshop,Level 1 413-417 Elizabeth Street MELBOURNE VIC 3000,"Pubs, Taverns and Bars",144.9605217744215,-37.80918734,"-37.80918733525, 144.9605217744215",3000,https://www.google.com/search?q=Workshop+Melbourne,Australian
2999,2021,802,575820,575820,Southbank,Subway,"Shop 6R, 3 Freshwater Place SOUTHBANK VIC 3006",Takeaway Food Services,144.96218258398218,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Subway+Melbourne,Unknown
3000,2021,802,575820,575820,Southbank,McDonalds,"Shop 4R, 3 Freshwater Place SOUTHBANK VIC 3006",Cafes and Restaurants,144.96218258398218,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=McDonalds+Melbourne,Fast Food
3001,2021,802,575820,575820,Southbank,Crinitis Southbank,Shop 5R & 7R 3 Freshwater Place SOUTHBANK VIC 3006,Cafes and Restaurants,144.96218258398218,-37.82171509,"-37.8217150925, 144.96218258398218",3006,https://www.google.com/search?q=Crinitis+Southbank+Melbourne,Italian
3005,2021,803,111175,110477,Southbank,The Atlantic Restaurant,"Shop 18, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,144.95832993123923,-37.8231616,"-37.823161595550005, 144.95832993123923",3006,https://www.google.com/search?q=The+Atlantic+Restaurant+Melbourne,Seafood
3008,2021,803,111175,110477,Southbank,Emporio Pizza & Pasta,"Shop 84, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,144.95832993123923,-37.8231616,"-37.823161595550005, 144.95832993123923",3006,https://www.google.com/search?q=Emporio+Pizza+&+Pasta+Melbourne,Italian
3017,2021,803,111175,110477,Southbank,Margo's,"Shop 82, Ground 8 Whiteman Street SOUTHBANK VIC 3006",Cafes and Restaurants,144.95832993123923,-37.8231616,"-37.823161595550005, 144.95832993123923",3006,https://www.google.com/search?q=Margo's+Melbourne,Australian
3039,2021,808,108046,108046,Southbank,My Goodness Pizza,"Suite 10, 186-188 City Road SOUTHBANK VIC 3006",Takeaway Food Services,144.96119356125342,-37.82386264,"-37.8238626433, 144.96119356125342",3006,https://www.google.com/search?q=My+Goodness+Pizza+Melbourne,Pizza
3040,2021,809,110368,110368,Southbank,House of Cards,Part Ground 207 City Road SOUTHBANK VIC 3006,Cafes and Restaurants,144.96116487361442,-37.82577326,"-37.82577325675, 144.96116487361442",3006,https://www.google.com/search?q=House+of+Cards+Melbourne,Australian
3043,2021,811,110420,110420,Southbank,Malay Momma,56 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.96370611384805,-37.82410699,"-37.8241069882, 144.96370611384805",3006,https://www.google.com/search?q=Malay+Momma+Melbourne,Malaysian
3045,2021,812,110361,110361,Southbank,Wonder sushi Melbourne,"Suite 13, Ground 89-91 City Road SOUTHBANK VIC 3006",Takeaway Food Services,144.9651132,-37.82255516,"-37.82255516262748, 144.96511316185",3006,https://www.google.com/search?q=Wonder+sushi+Melbourne+Melbourne,Japanese
3047,2021,812,110415,110415,Southbank,Saporito Taquito,Ground 12 Kavanagh Street SOUTHBANK VIC 3006,Cafes and Restaurants,144.9662583,-37.82261356,"-37.82261356490605, 144.96625827535",3006,https://www.google.com/search?q=Saporito+Taquito+Melbourne,Mexican
3050,2021,852,101100,101100,Melbourne (Remainder),Tea rooms and Terrace Royal Botanic Gardens,Tea Rooms Royal Botanic Gardens Alexandra Avenue MELBOURNE VIC 3004,Cafes and Restaurants,144.9812818921444,-37.82952121,"-37.829521212749995, 144.9812818921444",3004,https://www.google.com/search?q=Tea+rooms+and+Terrace+Royal+Botanic+Gardens+Melbourne,High Tea
3052,2021,861,102503,102503,South Yarra,Gilson,171 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,144.98170002123896,-37.8343169,"-37.83431689595, 144.98170002123896",3141,https://www.google.com/search?q=Gilson+Melbourne,Australian
3055,2021,861,102505,102505,South Yarra,No 179 Domain,179 Domain Road SOUTH YARRA VIC 3141,Cafes and Restaurants,144.9820355,-37.83431311,"-37.83431310932447, 144.9820354792",3141,https://www.google.com/search?q=No+179+Domain+Melbourne,Australian
3056,2021,861,102507,102507,South Yarra,Le Derriere by Entrecote,119 Park Street SOUTH YARRA VIC 3141,Cafes and Restaurants,144.9822628,-37.83434396,"-37.834343960856714, 144.98226281385",3141,https://www.google.com/search?q=Le+Derriere+by+Entrecote+Melbourne,Unknown
3060,2021,871,108652,108652,Melbourne (Remainder),Tradeblock Cafe,Part Ground 597 St Kilda Road MELBOURNE VIC 3004,Cafes and Restaurants,144.98199846200163,-37.84971896,"-37.84971895775, 144.98199846200163",3004,https://www.google.com/search?q=Tradeblock+Cafe+Melbourne,Cafe
3061,2021,915,108456,108456,Parkville,Naughtons Parkville Hotel,Naughtons Hotel 43-49 Royal Parade PARKVILLE VIC 3052,"Pubs, Taverns and Bars",144.95753197396974,-37.79554429,"-37.79554428555, 144.95753197396974",3052,https://www.google.com/search?q=Naughtons+Parkville+Hotel+Melbourne,Pub
3062,2021,919,103256,103256,Parkville,Think Asia VCCC,323 Grattan Street MELBOURNE VIC 3000,Cafes and Restaurants,144.95667139011434,-37.80018543,"-37.800185428999995, 144.95667139011434",3000,https://www.google.com/search?q=Think+Asia+VCCC+Melbourne,Asian
3065,2021,929,110950,110950,Parkville,Poplars,Part 34-54 Poplar Road PARKVILLE VIC 3052,Cafes and Restaurants,144.9479046624561,-37.77802791,"-37.7780279088, 144.9479046624561",3052,https://www.google.com/search?q=Poplars+Melbourne,Australian
3068,2021,931,103908,103908,Parkville,Sandrock,"Tenancy E, Ground 50 Flemington Road PARKVILLE VIC 3052",Cafes and Restaurants,144.9495226,-37.79363105,"-37.793631051343525, 144.9495226105",3052,https://www.google.com/search?q=Sandrock+Melbourne,Australian
3072,2021,931,110273,110273,Parkville,Giraffe Cafe,Kiosk Melbourne Zoological Gardens Elliott Avenue PARKVILLE VIC 3052,Takeaway Food Services,144.9516318,-37.78462359,"-37.7846235909, 144.951631758144",3052,https://www.google.com/search?q=Giraffe+Cafe+Melbourne,Cafe
3077,2021,1101,108973,108973,Docklands,Velluto,"Shop 9, Level 1 650 Collins Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Velluto+Melbourne,Australian
3079,2021,1101,108973,108973,Docklands,Network Public Bar & Pizzeria,"Shop 4-5, Ground 99 Spencer Street DOCKLANDS VIC 3008","Pubs, Taverns and Bars",144.9522269,-37.81841173,"-37.818411730415505, 144.9522268972",3008,https://www.google.com/search?q=Network+Public+Bar+&+Pizzeria+Melbourne,Australian
3081,2021,1101,110843,110843,Docklands,Potto,"Shop 1, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426",3008,https://www.google.com/search?q=Potto+Melbourne,Korean
3082,2021,1101,110843,110843,Docklands,Starbucks,"Shop 201-203, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426",3008,https://www.google.com/search?q=Starbucks+Melbourne,Cafe
3087,2021,1101,110843,110843,Docklands,Hangar Cafe Spencer Street,"Shop 214, Level 1 201 Spencer Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.9505641,-37.81450897,"-37.814508973578526, 144.9505641426",3008,https://www.google.com/search?q=Hangar+Cafe+Spencer+Street+Melbourne,Cafe
3089,2021,1102,609314,609314,Docklands,Melbourne Bay Restaurant,"Unit 1, 198 Harbour Esplanade DOCKLANDS VIC 3008",Cafes and Restaurants,144.9449387,-37.81399452,"-37.813994520151894, 144.94493865055",3008,https://www.google.com/search?q=Melbourne+Bay+Restaurant+Melbourne,Australian
3097,2021,1103,573401,573401,Docklands,Story Coffee & Food Store,Shop 3 Concourse 700 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.9493646,-37.81714507,"-37.81714506566416, 144.94936462985",3008,https://www.google.com/search?q=Story+Coffee+&+Food+Store+Melbourne,Cafe
3098,2021,1103,599505,573403,Docklands,Simply Indian,764 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.94735092900342,-37.81812972,"-37.81812972055, 144.94735092900342",3008,https://www.google.com/search?q=Simply+Indian+Melbourne,Indian
3105,2021,1103,599505,573403,Docklands,Espresso Dock,756B Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.94735092900342,-37.81812972,"-37.81812972055, 144.94735092900342",3008,https://www.google.com/search?q=Espresso+Dock+Melbourne,Cafe
3106,2021,1103,599505,573403,Docklands,Katsu House,Shop 9 Level 4 Concourse 744 Bourke Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.94735092900342,-37.81812972,"-37.81812972055, 144.94735092900342",3008,https://www.google.com/search?q=Katsu+House+Melbourne,Japanese
3111,2021,1105,578096,578096,Docklands,Asuka Sushi,"Shop 21, Level 4 717 Bourke Street DOCKLANDS VIC 3008",Cafes and Restaurants,144.950245,-37.81865754,"-37.81865753823454, 144.9502450218",3008,https://www.google.com/search?q=Asuka+Sushi+Melbourne,Japanese
3113,2021,1105,605909,605909,Docklands,Belluno Wine Bar,Part Ground 707 Collins Street DOCKLANDS VIC 3008,Cafes and Restaurants,144.95113801219998,-37.82088249,"-37.82088249442511, 144.95113801219998",3008,https://www.google.com/search?q=Belluno+Wine+Bar+Melbourne,Bar
